locator	originDocument	originPinId	bytes	rawSha256	observedMatchesPin	sealedSsaAuthentication	sealedEappAuthentication
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runner-core-v1/runtime-core.v1.json	SSA.transitiveSourcePins	pin:foundation:k-root	1240	fc94be4544cf5e5e31c9f474a1ed3b95d47979fb23d46c55c9acffab9b690ea2	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runner-core-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:foundation:k-manifest	4134	913e5667c78de4f06a7ce34acfa13fb1393eeadbbf831641eab35ceddf3f01c4	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runner-core-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:foundation:k-sums	2468	27ffdc493af8e77ab89b22dde1b424f0d9733bf9491013943b8a63ccc87bb4db	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-frozen-inputs-v1/frozen-inputs-root.v1.json	SSA.transitiveSourcePins	pin:foundation:f-root	5802	19d90ed575404fa332f82d4cc28f1e1c4b71d99cff7f0d3a914664a0b72a2bd5	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-frozen-inputs-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:foundation:f-manifest	4359	f6b1dbf3f6757366c519e10f11e1fed80d071507445ad0085955aae164ad0867	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-frozen-inputs-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:foundation:f-sums	873	4099e52c4acd2c2c34c49142bb28e6cb7ac31d048feb452e053038f3db578eff	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-live-executor-v2/model-root.v2.json	SSA.transitiveSourcePins	pin:origin:live-root	2917	45ddc12f0b44136a4f85e2800a47c8b9ed000ed0f33acc252b31b0758bdd2ebb	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-live-executor-v2/MANIFEST.json	SSA.transitiveSourcePins	pin:origin:live-manifest	4427	ef03043f458915856b5c420e039208f6a0307633d20b21dac8238d73316fd98a	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-live-executor-v2/SHA256SUMS	SSA.transitiveSourcePins	pin:origin:live-sums	1878	0ef72e260de7afdc9bb508739321418be95c48879b09992669af23e71e3d7285	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-authority-binding-model-v1/authority-binding-root.v1.json	SSA.transitiveSourcePins	pin:origin:cabm-root	12918	858050856ed4784d6b91bc74550c7e6595fae9596715314cc85bdee4051f68cb	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-authority-binding-model-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:origin:cabm-manifest	4514	05b171e7b4c8f308eb46f0f6bffb78f260513322d5b91728bf61a6cb62e891b7	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-authority-binding-model-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:origin:cabm-sums	1931	a296a3a7b6acabed4b70c648d3907f032fd309ef32980427eb77fbff840dffab	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-external-origin-contract-v1/external-origin-contract-root.v1.json	SSA.transitiveSourcePins	pin:origin:ecoc-root	36779	63b8f0312fc5da429f66ce7ccfcc9c213edc52f9ce8ec671c7e0223207ac4f7d	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-external-origin-contract-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:origin:ecoc-manifest	4432	de386b8758b75c5a92fafdadcb9fe0dcd769ab7385afae8d8642c66df8608bc6	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-external-origin-contract-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:origin:ecoc-sums	1966	ec1b8bcee3a8e9835f4ed2b97b784fefe14000ee6e7df3f6a8cc4cd59671a5ea	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-upstream-origin-provider-contract-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:origin:uopc-manifest	4475	3f8cb55cb5c22a6f6b7c41f7aacb2203cede37a22c742bda5d57cbbdd5cedf80	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-upstream-origin-provider-contract-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:origin:uopc-sums	1982	666fa5308ceab90aad90738a7be5d2219e7a0da09c6fabd5916eeed28387dc9d	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-upstream-provider-source-map-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:origin:source-map-manifest	4206	bc214e4ba6d6e2501b5a6f33a61947d9dce007ef8a1ca4c520d365285ac9ed76	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-upstream-provider-source-map-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:origin:source-map-sums	1846	d89e2e670847abb483f83fdcc85c335fecf3d38b1239adb4a03e8ebb50a9ec51	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-executor-v2/authorization.v2.json	SSA.transitiveSourcePins	pin:history:attempt000-auth	196239	d0ed6a22ef0cdbba80c87bc14650872f2242b7369960ffc6beafb153e5404564	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-executor-v2/authorization.v2.schema.json	SSA.transitiveSourcePins	pin:history:attempt000-schema	8483	fd1c6a1c04eb654446722261dd703e75905c5fb6d3603d232b10cd50a9f79224	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-attempt-accounting-v1/attempt-accounting-root.v1.json	SSA.transitiveSourcePins	pin:history:accounting-root	3432	a0d1e18340cf30025c1b8e285699330cdafc339f36ada2cde73f08fa897d0102	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-attempt-accounting-v1/receipts/attempt-000.posthoc-abort-receipt.v1.json	SSA.transitiveSourcePins	pin:history:abort-receipt	12667	a2976a238c93313cb17c628d221375dd0616b6361283f6423aa54d242a7acd39	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-attempt-accounting-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:history:accounting-manifest	5531	12731bec4b007945cd772627c15494e2d85bca7d42fab2a7412216e540339393	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-attempt-accounting-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:history:accounting-sums	3284	264cc7fe9090042e4b271177b58b5b44be65b71cc08efc868436956b0673fc59	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-retry-v1/attempt-001.retry-wrapper.v1.json	SSA.transitiveSourcePins	pin:history:retry-wrapper	11702	443eb67918694cd96f71aad42d8dde454fe6b5446c0cd20c275fcf29ce36cca6	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-retry-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:history:retry-manifest	2577	552c8bcfbc77b849d55a0f79dd08013ae166c76f6b19bcad19ad441809dd29e9	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-retry-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:history:retry-sums	1212	ee2f473e46d23cb7d12e075ccce21b55bd7f15ea793ad7ec569d9abe82ef2e56	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-execution-v3/execution-contract.v3.json	SSA.transitiveSourcePins	pin:history:v3-contract	22291	d44efe80610257fc40bb82845f5cc7c2eb1e09cf7848b429d0d688be0a771ef2	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-execution-v3/MANIFEST.json	SSA.transitiveSourcePins	pin:history:v3-manifest	3866	4e8c28d5ef6e480d9fe717ee5f4c1caea49dced2bfe11b72b0997665104abd41	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-execution-v3/SHA256SUMS	SSA.transitiveSourcePins	pin:history:v3-sums	2332	3c60cc1f6d077259bb65b45c18009b1b91314c52d578caf9123b8e3f5dddbc73	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-v3-freeze.v1.json	SSA.transitiveSourcePins	pin:history:v3-freeze	6678	c9a3ec19f2f2feb6ecd297f6c8315b5f81589deb9b193d081f68fcd3650220d0	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-v3-freeze.v1.schema.json	SSA.transitiveSourcePins	pin:history:v3-schema	4736	473fb2719bc5908d474fa882c91aaee169ffa660608690eeaea2720ae40f9dbe	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/campaign.v2.json	SSA.transitiveSourcePins	pin:frozen:campaign	95098	496498164f16ed1f42d73e74cd24ba0515bf670cf1e4ca5c3d467d4479667a7b	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/canonical-corpus.v2.json	SSA.transitiveSourcePins	pin:frozen:corpus	2091144	aa58ee1f520c14f7efae2046ca1fe8f82e352638511dac8cc506194dcc842158	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/fixture-roster.v2.json	SSA.transitiveSourcePins	pin:frozen:fixtures	19405480	cf62a64d7d0bbf73568ea36df23c2f463d4548ae407c41fd0bd0d62013e84e57	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/work-item-roster.v2.json	SSA.transitiveSourcePins	pin:frozen:work-items	20875668	cbbd0b03ce87189ebc056a341f5ef22b6f0cd1a7a052b0bd90865825404a37f9	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/execution-epoch.v2.json	SSA.transitiveSourcePins	pin:frozen:epoch	2885168	84ff8f6a85244b65d5d4f6e80c38b516223641ee444a133a67eb5794311d2dbc	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/MANIFEST.json	SSA.transitiveSourcePins	pin:frozen:manifest	13213	f600f81a716fb968ee1602c088e438d08008bce336e2191f68b37919b8bf5171	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/SHA256SUMS	SSA.transitiveSourcePins	pin:frozen:sums	3913	57eee7a1cc1fdd9c10e9f97176b77b138eb3b97949fe3bf1518bf1517f04275e	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/construction-freeze/construction-freeze.v1.json	SSA.transitiveSourcePins	pin:frozen:construction	10203	5b276ff979fdb61c5919ef74c324cd62295fec99a8f2e9f5455f3adfdac237bc	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/schedule-freeze/schedule-freeze.v1.json	SSA.transitiveSourcePins	pin:frozen:schedule	63153	b96da97b99bcf45f34b77ea66c0e44192533634f10a48af1c889b8d0e1fdb173	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/algebra-component/descriptors/m31-d5-x5-plus-2x-minus-1.v2.json	SSA.transitiveSourcePins	pin:frozen:descriptor-m31d5	15063	da37dee378f4354c0b024cff9c5335dd36b5bd13303b39893b34473423933af0	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/algebra-component/descriptors/m31-d6-x6-minus-5.v2.json	SSA.transitiveSourcePins	pin:frozen:descriptor-m31d6	17091	74212333384b58d0841e9f8b7eff21c9c26235724228d66197089e8ffd2c8acc	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/algebra-component/descriptors/m61-d3-x3-minus-5.v2.json	SSA.transitiveSourcePins	pin:frozen:descriptor-m61d3	15012	e844fed91918bc80f86e910f37e9e6d5946d3d93bf9b64fd56d77e79bd6147ad	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/algebra-component/descriptors/m89-d2-x2-plus-1.v2.json	SSA.transitiveSourcePins	pin:frozen:descriptor-m89d2	14703	1aec3bbc6de2af76b8a2199e1958dbb1b9a94142e4910f88239068a8055a5c52	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/engines/native.v2.json	SSA.transitiveSourcePins	pin:frozen:engine-native	6590	7af55f7225c500a80b83411e7b7c191bbe4613236bf14d6db3e8062fd486f7e8	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/engines/libauth.v2.json	SSA.transitiveSourcePins	pin:frozen:engine-libauth	8753	24d3e09426a32683782f4216c2dc1ba9ed1cb8c97c8e65fe44d0bf68cdaa9680	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/engines/bchn.v2.json	SSA.transitiveSourcePins	pin:frozen:engine-bchn	16270	ae1de738dbae6892e3f29b2b6a8443316382736144bbdb1108184b6bea0a044b	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/engines/leanbch.v2.json	SSA.transitiveSourcePins	pin:frozen:engine-leanbch	22978	50e8d31ed6987436a6dff3f4818c6304a64036559e780285895f27c15cb5a4c7	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-freeze-v2/engine.v2.schema.json	SSA.transitiveSourcePins	pin:frozen:engine-schema	31279	d8da247cc44f7aa1ebadb75554f41492488ecaf5385e85f3725a6b477a3c0e47	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
